run_date,verdict,title,listing_url,current_price,landed_cost,discogs_median,margin_condition_adjusted,catalog_match_confidence,bought,bought_price_usd,sold_price_usd,sold_date,actual_grade_received,notes_outcome
2026-08-26,REJECT,JOHN COLTRANE Coltrane Jazz ATLANTIC LP VG+ 180g reissue r,https://www.ebay.com/itm/800547188348?_skw=Atlantic+Records+jazz+vinyl+lp&hash=itemba6454ae7c:g:PkoAAeSwRqBqiOUU,8.0,25.0,,,manual_review,,,,,,"ОТКЛОНЁН по ручному разбору пользователя 26.08 — резолвился в нумерованный box set 45RPM 2025 года (release/34362412, маркеры Limited Edition/Numbered/45 RPM), а не в обычный '180g reissue' из текста лота. Настоящий релиз — простой стереo-рессиз (discogs.com/release/3148476, формат просто LP/Reissue/Stereo), медиана Discogs $18.60 (диапазон $5-34.99), have/want 575/170=3.4:1. С форвардингом до Москвы итог $34-39 — на уровне/выше ВСЕЙ верхней границы диапазона цен, не стоит того. Маржа 2.94x была посчитана против неверного (премиум) издания, недействительна. КОД ИСПРАВЛЕН: добавлена проверка has_unlisted_premium_edition() — при чистом фаззи-поиске (в тексте лота нет каталожного номера Atlantic, catno=None) все top-11 результатов Discogs с совпадением по названию оказались премиум-изданиями (Limited/Numbered/45RPM), безопасной альтернативы не нашлось — теперь discogs_resolve_release() честно возвращает None вместо того, чтобы взять первый попавшийся (премиум) результат и посчитать маржу против него."
2026-08-26,REJECT,HANK MOBLEY Tenor Conclave PRESTIGE OJC-127 LP SEALED r,https://www.ebay.com/itm/318765467291?_skw=Prestige+Records+vinyl+lp&hash=item4a37e7069b:g:heMAAeSwHrZqiOjn,8.0,25.0,36.0,1.44,manual_review,,,,,,"ОТКЛОНЁН по ручному разбору пользователя 26.08 — это не редкость, а массовый OJC-рессиз (Fantasy Inc., 80-90е). НОВЫЙ КЛАСС БАГА: каталожный номер 'OJC-127' вообще не распознавался (не было паттерна в CATALOG_PATTERNS), поэтому поиск шёл чистым фаззи-текстом и случайно взял единственный найденный результат — release/16513470 (have=52/want=73, тонкий рынок, low=$35 — единственный дорогой лот выдал median=$70 задним числом через degraded-mode оценку). На деле catno 'OJC-127' на Discogs делят 5 ОТДЕЛЬНЫХ карточек-дублей одного и того же тиража (have от 52 до 455) — не другой альбом, просто раздублированные записи. КОД ИСПРАВЛЕН: (1) добавлен паттерн OJC в CATALOG_PATTERNS — теперь catno находится и запускает штатную дизамбигуацию по catno; (2) добавлен most_liquid() — при неразличимых по названию/стране кандидатах берём не первый по порядку выдачи Discogs, а с максимальным community.have+want (самая торгуемая карточка, надёжнее статистика). Теперь резолвится в release/2377823 (have=455/want=209), low=$18/median(estimate)=$36 — margin 1.44x, ниже порога WATCH. Совпадает с независимой ручной проверкой пользователя по другой карточке-дублю (release/12346840, US Pitman, медиана $17.49, диапазон $5.76-25.58, have/want 201/93≈2.16:1): с форвардингом до Москвы (+$20-25) итог $34-39 — выше верхней границы диапазона, невыгодно. Маржа 2.8x против release/16513470 была недействительна."
2026-08-26,REJECT,Pablo Records In-Store Sampler Volume VII  2310-679 NM Art Tatum Ella Fitzgerald,https://www.ebay.com/itm/287375197045?_skw=Pablo+Records+vinyl+lp&hash=item42e8e58375:g:02oAAOSw0-JnUefr,10.0,21.0,16.0,0.53,exact,,,,,,"ИСПРАВЛЕНО при перепроверке 26.08 — изначально резолвился в 'Yo Canto' (Аргентина, другой альбом), маржа 2.59x была недействительна. После фикса резолвится в правильный релиз (US, точное совпадение), но настоящая маржа всего 0.53x — реальной находки тут нет."
2026-08-26,REJECT,"Jackie McLean – 4, 5 And 6 LP OJC Prestige shrink",https://www.ebay.com/itm/278297065680?_skw=Prestige+Records+vinyl+lp&hash=item40cbcc38d0:g:P6QAAeSw7DBqhjIT,4.25,21.25,14.0,0.66,manual_review,,,,,,"ОТКЛОНЁН по ручному разбору пользователя 26.08 — рессиз OJC-056 (1983, Original Jazz Classics), не оригинал 1956г. РАЗВИТИЕ БАГА OJC (см. Tenor Conclave выше): в тексте ЭТОГО лота catno вообще не напечатан цифрами ('OJC Prestige' без номера), поэтому даже с добавленным паттерном OJC catno не извлекается и код шёл чистым фаззи-поиском, который взял release/5768410 (Europe 2014, 180g, have=156/want=60) — снова один из 4 дублей-карточек этого тиража на Discogs (US 2014 have=374, US 1983 have=704, Europe 2014 have=156, Korea 1992 have=10). КОД ИСПРАВЛЕН: теперь даже без catno из текста листинга код смотрит на catno САМОГО резолвнутого фаззи-результата и прогоняет его через ту же дизамбигуацию most_liquid() — правильно пересел на release/1441473 (US 1983, have=704/want=142≈4.96:1 — точно совпадает с ручной проверкой пользователя 703/142≈4.95:1). low=$7.00 (близко к реальным $8.08), degraded-mode median-оценка $14.00 (реальная медиана пользователя $20 — расхождение в пределах уже задокументированной погрешности degraded-mode). landed_cost $21.25 против любой из этих медиан даёт margin <1x — реальной находки тут нет, маржа 2.38x против неверной (более редкой) карточки была недействительна."
2026-08-26,WATCH,Antonio Carlos Jobim Wave CTI A&M 3002 stereo Ron Carter 1967 VG+ gatefold cover,https://www.ebay.com/itm/820032654654?_skw=CTI+Records+vinyl+lp&hash=itembeedc14d3e:g:rxoAAeSwv9NqiMp9,10.0,27.0,50.0,1.85,manual_review,,,,,,"УТОЧНЕНО по ручному разбору пользователя 26.08 — код резолвил в release/3044240 (US 1968, VAN GELDER matrix stamp вариант лейбла, have=1704/want=1335), пользователь по фото/описанию лота указывает release/9811916 (US 1967, Monarch Pressing, другой шрифт 'Stereo' на лейбле, have=582/want=731 — спрос выше предложения). ЭТО НЕ ДУБЛЬ-КАРТОЧКА (как OJC-кейсы) — оба релиза легитимные, разные лейбл-варианты одного оригинального тиража 1967г., различить по тексту лота без фото лейбла нельзя, most_liquid() тут принципиально не может выбрать верно — manual_review оправдан. Наша degraded-mode оценка медианы для 9811916 — $50 (low $25), пользователь по реальным продажам Discogs даёт медиану $25.26 (диапазон $5-120) — наша 2x-эвристика заметно завышает здесь. Состояние лота VG+ (выше среднего, оригинальный gatefold пресс) — пользователь считает реалистичным диапазоном продажи $25-40 при таком состоянии. ВАЖНО: аукцион, ставка $10 (1 bid), окончание через ~6ч на момент разбора — пользователю рекомендовано ставить proxy-ставку на потолок ($15-20) вручную прямо сейчас, скрипт НЕ имеет возможности делать ставки (только read-only Browse API, нет user-auth для Trading/Buy API)."
2026-08-26,WATCH,JOHN COLTRANE Crescent IMPULSE AS-66 LP gatefold r,https://www.ebay.com/itm/800547189564?_skw=Impulse%21+vinyl+lp&hash=itemba6454b33c:g:OnsAAeSwvk9qiOUq,8.5,25.5,50.0,1.96,manual_review,,,,,,"ИСПРАВЛЕНО при перепроверке 26.08 — изначально резолвился в 'Various - Play:Back' (не Coltrane вообще, AS-66 делят 7+ релизов), маржа 2.12x против ЭТОГО релиза была недействительна. После фикса regex+сверки названия резолвится в настоящий John Coltrane Quartet - Crescent (US), маржа 1.96x — всё ещё WATCH, но не exact: среди ~6 американских прессов Crescent под AS-66 не удаётся выбрать один без фото."
2026-08-26,REJECT,ORNETTE COLEMAN The Shape Of Jazz To Come LP ATLANTIC Free Jazz Reissue,https://www.ebay.com/itm/227488595190?_skw=Atlantic+Records+jazz+vinyl+lp&hash=item34f7607cf6:g:06YAAeSwc8Fqi1gX,9.99,26.99,43.04,1.59,manual_review,,,,,,"НАЙДЕН РЕАЛЬНЫЙ БАГ по разбору пользователя 26.08 — код резолвился в release/24779189, 2022 Vinyl Me, Please 'Club Edition' 180g (та же ловушка, что Coltrane Jazz box set, просто под другим маркером формата, которого не было в списке). КОД ИСПРАВЛЕН: 'Club Edition' добавлен в PREMIUM_EDITION_MARKERS; заодно наивный next() в фоллбэке (брал первый non-premium результат по порядку выдачи API) заменён на most_liquid(). После фикса резолвится в release/18616948 (Germany 2021, Reissue/Remastered/Stereo) — легитимный не-премиум рессиз, но НЕ та же карточка, что нашёл пользователь (release/1151114, US 1974, matrices ST-A-59175/59176, have/want 712/575≈1.24:1) — оба легитимные разные прессы одного catno, различить по тексту лота нельзя (тот же класс неоднозначности, что Jobim Wave, см. known_code_issues). ГЛАВНОЕ: даже с реальной медианой пользователя ($43.04, диапазон $10.99-59.48) и landed_cost скрипта $26.99 маржа = 1.59x — НИЖЕ порога WATCH (grey_zone_lower=1.8) по чистой математике конфига. Пользователь считает лот привлекательным по историческому значению альбома (один из ключевых релизов рождения фри-джаза), но это уже вне рамок 3x-модели скрипта, не пересчитывалось под неё — решение о покупке вне резейл-логики, на усмотрение пользователя. Также пользователь просил уточнить точный грейд состояния у продавца (в скринах был только Discogs-текст, не описание конкретного экземпляра) — без этого цифра маржи в любом случае условная."
2026-08-26,WATCH,John Coltrane - Expression LP - Impulse - AS-9120 Stereo RVG,https://www.ebay.com/itm/318765186951?_skw=Impulse%21+vinyl+lp&hash=item4a37e2bf87:g:ldcAAeSwaclqiMUi,8.0,25.0,46.28,1.85,manual_review,,,,,,
2026-08-26,WATCH,Red Garland's Piano DG Mono RVG Paul Chambers Art Taylor Prestige LP,https://www.ebay.com/itm/366627737000?_skw=Prestige+Records+vinyl+lp&hash=item555cb74da8:g:gV0AAeSwNhhqifes,9.5,26.5,94.96,3.58,manual_review,,,,,,"НАЙДЕН РЕАЛЬНЫЙ БАГ по разбору пользователя 26.08 — catno PRLP 7086 честно делят 5 РАЗНЫХ по редкости прессов (1957 NYC-оригинал → release/15103922, медиана $150/Discogs, have/want 152/557; 1963 Bergenfield без DG → release/17390578, медиана $65, have/want 76/141; плюс ещё 3 репресса). Ансамбль (вес have+want) утянуло к самому редкому/дорогому — NYC-оригиналу (want=557 у него — сигнал дефицита, а не типичности) — итоговые $437.50/16.51x были недействительны. КОД ИСПРАВЛЕН: вес ансамбля теперь только 'have' (см. release_liquidity) — 'want' убран, т.к. отражает дефицит/желанность конкретного пресса, а не его распространённость. После фикса медиана $94.96, release сместился на общий репресс (have=203) — куда ближе к реальности. ЛОТ: это НЕ первый тираж (адрес Bergenfield, N.J. на этикетке, не NYC), но с deep groove — промежуточный вариант между Bergenfield-без-DG ($65) и NYC-оригиналом ($150), пользователь оценивает реалистично в $70-110 при состоянии конверт VG+/винил VG+. ЖИВОЙ АУКЦИОН на момент разбора: $9.50 (2 ставки), доставка $6, форвардер ~$20-25, 4+ дня до конца. Потолок ставки пользователя $30-35 → итог на руки $56-61, что заметно ниже оценки $70-110 — солидный запас. Пользователь планирует идти до потолка."
2026-08-26,REJECT,ALICE COLTRANE Lord Of Lords ABC/IMPULSE LP gatefold r,https://www.ebay.com/itm/318765440754?_skw=Impulse%21+vinyl+lp&hash=item4a37e69ef2:g:l7AAAeSwptdqiOUA,8.0,25.0,88.0,3.52,manual_review,,,,,,"ОТКЛОНЁН по ручному разбору пользователя 26.08 — резолв релиза оказался ВЕРНЫЙ (release/3794919, US 1972, have/want 1358/974 точно совпадает с источником пользователя), но ансамбль всё равно раздувало редкими импортными прессами того же catno AS-9224 (Япония have=3/want=183, Франция have=25/want=303 — низкий have, высокий want типичны для дефицитных изданий) — было $158.14/6.33x. ТОТ ЖЕ БАГ, ЧТО У RED GARLAND — исправлен той же правкой (вес ансамбля по 'have' вместо 'have+want'), после фикса $88.00 — уже ближе к реальной медиане Discogs пользователя $50 (остаток разрыва — известная погрешность degraded-mode оценки low×2, отдельная задокументированная проблема). ГЛАВНОЕ: состояние ЭТОГО экземпляра плохое — винил VG, конверт VG- (потёртости, помятые углы, сильное осыпание золотого глиттер-покрытия, известная болезнь тиража, но здесь выражена особенно). При VG/VG- реалистичная цена — низ диапазона $20-35, а не медиана. С форвардингом при текущей цене $8 (0 ставок) итог $34-39 — уже на границе или выше реалистичной оценки состояния. Пользователь: потолок ставки $10-12 (не гнаться агрессивно), учитывая растущую моду на Alice Coltrane за пределами джазовой аудитории — но это уже не чистая 3x-находка, а осторожная ставка с минимальным запасом."
2026-08-26,WATCH,DON WILKERSON Preach Brother! BLUE NOTE BST-84107 LP stereo Liberty van gelder r,https://www.ebay.com/itm/800559088570?_skw=Blue+Note+vinyl+lp&hash=itemba650a43ba:g:HXEAAeSwvFJqjRq9,8.0,25.0,69.76,2.79,manual_review,,,,,,"НАЙДЕН РЕАЛЬНЫЙ БАГ по разбору пользователя 26.08 — код резолвился в release/2654443 (France 1983 Reissue, have=225), а не в настоящий US-пресс эпохи Liberty Records (release/2938457, have=95, ровно источник пользователя) — в тексте лота нет ни намёка на Францию, только 'Liberty'/'Van Gelder' (американская эра Blue Note). 'have' снова спутал распространённость с корректностью: французский рессиз шире растиражирован, чем менее ходовой американский пресс. КОД ИСПРАВЛЕН: добавлен prefer_domestic() — если guess_country_hint() ничего не нашёл в тексте лота, сужаем кандидатов до US ДО выбора по ликвидности (eBay US-листинг без упоминания страны почти всегда обычный американский экземпляр). После фикса резолвится в release/2938457, точное совпадение с источником пользователя. Наша ensemble-оценка $120 (low $60 ×2, live low опять поймал рынок в моменте) — пользователь даёт медиану Discogs (по master, агрегировано по всем прессам) $69.76, диапазон $14.99-145.35, have/want 4847/1571 (спрос умеренный, have>>want — не дефицит, тайтл не улетит в космос). ЛОТ: винил VG-/VG+ (дефект слышен только на A1), обложка VG — реалистичный потолок продажи $30-50, не медиана. Живой аукцион: $8 (0 ставок), 5.5 дней, landed ≈$22-25. Пользователь считает это САМЫМ адекватным из трёх сегодняшних Blue Note/Muse/Mainstream кандидатов — реальный пол цены даже в среднем состоянии, потенциально 2-3x при продаже $45-60, но не супердефицитный тайтл (have>want) — добивать в последние минуты аукциона, не сейчас."
2026-08-26,REJECT,JACK DEJOHNETTE'S SPECIAL EDITION Irresistible Forces MCA/IMPULSE LP VG+ ra,https://www.ebay.com/itm/318775763794?_skw=Impulse%21+vinyl+lp&hash=item4a38842352:g:apgAAeSw0zlqjR7U,8.0,25.0,10.94,0.44,manual_review,,,,,,"НАЙДЕН РЕАЛЬНЫЙ БАГ по разбору пользователя 26.08, самый общий за сегодня — верный релиз (US MCA 5992, release/3457727) вообще НЕ попадал в кандидаты фаззи-поиска, находились только 2 нерелевантных японских пресса. Причина — испорченный поисковый запрос: (1) \bVG\+?\b не матчит '+' перед пробелом (нет границы слова между двумя небуквенными символами), оставляя висячий '+'; (2) ГЛАВНОЕ — eBay обрезает заголовки лотов (~80 симв.), часто прямо посреди слова, оставляя огрызок вроде 'ra' (от 'rare') — Discogs трактует такой огрызок как обязательный фильтр и резко режет выдачу (проверено живьём: 5 релизов -> 2). Проверка по decisions_log.csv: у 23 из 46 сегодняшних тайтлов заголовок кончается похожим 1-2-буквенным обрывком — это не редкость, а массовая проблема. КОД ИСПРАВЛЕН: VG+ regex переписан через lookahead вместо \b; добавлен TRAILING_FRAGMENT_RE, срезающий висячий 1-2-буквенный обрывок в конце запроса. После фикса резолвится в release/3457727 (US, точное совпадение с источником пользователя), медиана $10.94 — близко к реальным $8 у пользователя. РЕАЛЬНАЯ ЭКОНОМИКА: это рядовой цифровой тираж 1987г. на MCA/Impulse (уже не винтажный оригинал), медиана Discogs $8, диапазон $3.43-19, have/want 362/60 (втрое больше предложения, чем спроса — никакой дефицитности). landed $22-25 против товара, который целиком стоит $8-19 — доставка дороже самой пластинки, гарантированный минус. Маржа 4.72x против неверных (ненайденных) кандидатов была полностью недействительна. Смысл брать — только слушать самому."
2026-08-26,WATCH,HAL McKUSICK TRIPLE EXPOSURE PRESTIGE WWLJ-7049 MONO JAPAN Vinyl LP,https://www.ebay.com/itm/168626696857?_skw=Prestige+Records+vinyl+lp&hash=item2742ef3299:g:2BYAAeSwVf1qe~i9,4.99,38.99,164.1,4.21,manual_review,,,,,,
2026-08-26,WATCH,MCCOY TYNER TODAY AND TOMORROW IMPULSE AS63 1LP,https://www.ebay.com/itm/366619977841?_skw=Impulse%21+vinyl+lp&hash=item555c40e871:g:I~0AAeSwhFRqiAL9,5.99,29.0,91.71,3.16,manual_review,,,,,,"УТОЧНЕНО по ручному разбору пользователя 26.08 — top корректно резолвился в оригинал 1964г. (release/2398813, US, точное совпадение с источником пользователя), но ансамбль смешивал его с 6 более поздними рессизами того же catno (1966-73гг., $64-168) — НАЙДЕН И ИСПРАВЛЕН БАГ: добавлен exclude_unwanted_reissues(), теперь при некликанном на рессиз лоте и non-reissue top остальные Reissue-карточки исключаются из ансамбля. После фикса чистая оценка по оригиналу $300 (live-low снова поймал рынок в моменте — известное ограничение, реальная медиана Discogs у пользователя $91.71, диапазон $10.97-180, have/want 295/621≈2.1:1, спрос реальный). ЛОГИСТИКА ДРУГАЯ — продавец из Японии, прямая трекинг-доставка (DHL/FedEx/UPS) без форвардера: $5.99 (1 ставка, 2д22ч) + $23 = ~$29 landed уже сейчас, не финал (цена вырастет). ВАЖНО: не подтверждено, что это именно ПЕРВЫЙ пресс (нужны keel pressing/зубчатый край, gatefold, суффиксы на лейбле — не видно на фото) — может быть более поздний пресс 60-х того же дизайна лейбла, тоже неплохой, но дешевле оригинала. Пользователь рекомендует написать продавцу и уточнить детали пресса и точное состояние ПЕРЕД ставкой — редкий случай, где стоит потратить время на вопрос."
2026-08-26,WATCH,THELONIOUS MONK BRILLIANT CORNERS RIVERSIDE RLP12226 1LP,https://www.ebay.com/itm/237020809883?_skw=Riverside+Records+vinyl+lp&hash=item372f8a8a9b:g:PdAAAeSwVZ5qiAL4,3.99,37.99,136.96,3.61,manual_review,,,,,,
2026-08-26,WATCH,YUSEF LATEEF 1984 ABC/IMPULSE LP gatefold r,https://www.ebay.com/itm/318765457058?_skw=Impulse%21+vinyl+lp&hash=item4a37e6dea2:g:wRIAAeSwUkpqiOhz,8.0,25.0,90.0,3.6,manual_review,,,,,,
2026-08-26,WATCH,"JIMMY WITHERSPOON: Evenin' Blues (PRESTIGE 12"") (LP 33 RPM) PR 7300",https://www.ebay.com/itm/318757058340?_skw=Prestige+Records+vinyl+lp&hash=item4a3766b724:g:87oAAeSwmmZqhm7L,4.99,21.99,67.98,3.09,manual_review,,,,,,
2026-08-26,WATCH,CHARLES MINGUS Mingus Mingus Mingus Mingus Mingus ABC/IMPULSE LP stereo r,https://www.ebay.com/itm/318765466084?_skw=Impulse%21+vinyl+lp&hash=item4a37e701e4:g:fCAAAeSwFfJqiOjU,8.0,25.0,75.98,3.04,manual_review,,,,,,
2026-08-26,WATCH,Manu Dibango~Soul Makossa~Atlantic SD-7267 Stereo (NM),https://www.ebay.com/itm/800562982588?_skw=Atlantic+Records+jazz+vinyl+lp&hash=itemba6545aebc:g:itAAAeSwOCtqjhqK,7.99,24.99,52.0,2.91,manual_review,,,,,,
2026-08-26,WATCH,PHAROAH SANDERS Jewels Of Thought ABC/IMPULSE AS-9190 LP gatefold r,https://www.ebay.com/itm/366621459778?_skw=Impulse%21+vinyl+lp&hash=item555c578542:g:f3MAAeSwpN5qiOmE,8.0,25.0,59.76,2.39,manual_review,,,,,,
2026-08-26,WATCH,JOHN COLTRANE Selflessness ABC/IMPULSE LP gatefold r,https://www.ebay.com/itm/318765443994?_skw=Impulse%21+vinyl+lp&hash=item4a37e6ab9a:g:eH8AAeSwXm5qiOUV,8.0,25.0,59.28,2.37,manual_review,,,,,,
2026-08-26,WATCH,HAROLD ALEXANDER Sunshine Man FLYING DUTCHMAN LP gatefold r,https://www.ebay.com/itm/318765421092?_skw=Flying+Dutchman+Records+vinyl+lp&hash=item4a37e65224:g:KkYAAeSwddFqiORo,8.0,25.0,61.05,2.44,manual_review,,,,,,"УТОЧНЕНО по ручному разбору пользователя 26.08 — резолв релиза ВЕРНЫЙ (release/1283384, US 1971, have/want 359/1045≈2.9:1 точно совпадает с источником пользователя, оригинальный Monarch Pressing). Но наша оценка $200/9.60x была раздута НЕ багом резолва, а особенностью метрики 'low': это ТЕКУЩАЯ минимальная цена среди активных Marketplace-листингов, а не историческая медиана продаж (известное ограничение с самого начала проекта). При экстремальном спросе (2.9:1, один из сильнейших за весь день) дешёвые копии разбирают almost мгновенно — live-запрос застал рынок с low=$150 (только дорогие копии остались в продаже прямо сейчас), реальная историческая медиана Discogs у пользователя $61.05 (диапазон $20-140). ЛОТ: винил VG (складской изгиб, не критично), конверт VG- (следы влаги, разрывы ламината, потёртости) — обычно тянуло бы цену к низу диапазона, но при таком спросе диджеи/сэмпл-диггеры разбирают даже потрёпанные экземпляры охотно, переоценка по низу не так актуальна. ЖИВОЙ АУКЦИОН на момент разбора: $8 (1 ставка), доставка $6, форвардер ~$20-25, 3д17ч до конца. Потолок пользователя $25-30 → итог на руки $51-61 (на уровне/чуть ниже реальной медианы $61.05) — пользователь считает комфортным и планирует идти до потолка, учитывая моду на rare groove/spiritual jazz-funk и потенциал перепродажи в Москве (диджей-аудитория шире обычной джазовой)."
2026-08-26,WATCH,John Coltrane - Meditations LP - Impulse! - AS-9110 RVG,https://www.ebay.com/itm/318765186959?_skw=Impulse%21+vinyl+lp&hash=item4a37e2bf8f:g:UsgAAeSw2G9qiMTm,8.0,25.0,52.0,2.08,manual_review,,,,,,
2026-08-26,WATCH,ART BLAKEY'S JAZZ MESSENGERS With Thelonious Monk ATLANTIC LP mono r,https://www.ebay.com/itm/800547174919?_skw=Atlantic+Records+jazz+vinyl+lp&hash=itemba64547a07:g:rrYAAeSwVppqiOSd,8.0,25.0,49.72,1.99,manual_review,,,,,,
